customer_id,age,gender,country,account_type,signup_date,is_active
CUST_000001,55,Male,Germany,SAVINGS,2021-11-10,True
CUST_000002,43,Male,Germany,checking,2022-12-08,True
CUST_000003,38,Male,France,savings,2020-05-25,True
CUST_000004,39,female,Italy,savings,2021-04-11,True
CUST_000005,29,Female,France,checking,2022-10-01,True
CUST_000006,63,Male,Spain,savings,2023-05-05,True
CUST_000007,72,F,Germany,checking,2021-09-22,True
CUST_000008,48,Female,France,savings,2021-05-28,True
CUST_000009,18,Male,Germany, checking ,2020-06-04,True
CUST_000010,43,Female,Austria,SAVINGS,2023-12-02,False
CUST_000011,27,male,Italy,SAVINGS,2023-05-17,True
CUST_000012,45,Male,France,checking,2023-11-28,True
CUST_000013,40,Male,Spain,Business,2021-05-13,True
CUST_000014,53,Female,Italy,SAVINGS,2021-11-25,False
CUST_000015,38,Male,Germany,checking,2023-12-27,False
CUST_000016,26,Female,France,checking,2022-07-06,True
CUST_000017,35,male,France,Premium ,2023-08-23,True
CUST_000018,47,Male,Italy,savings,2023-06-25,True
CUST_000019,45,Female,Portugal,checking,2023-07-20,True
CUST_000020,51,Non-binary,France, checking ,2019-10-07,True
CUST_000021,49,Female,Germany,savings,2023-11-30,True
CUST_000022,80,female,Italy,business,2023-07-22,True
CUST_000023,32,Female,Spain,checking,2019-05-24,True
CUST_000024,65,Male,Netherlands,SAVINGS,2021-10-11,True
CUST_000025,25,Female,Germany,checking,2022-12-14,False
CUST_000026,34,Other,Germany,checking,2021-04-01,True
CUST_000027,30,Female,Spain,checking,2022-11-16,True
CUST_000028,66,Female,Netherlands,savings,2020-07-16,False
CUST_000029,40,Male,Italy,checking,2021-03-26,True
CUST_000030,39,Male,Spain,savings,2023-11-04,False
CUST_000031,26,Female,Belgium,premium,2019-05-08,True
CUST_000032,75,Male,France, checking ,2021-08-19,True
CUST_000033,36,Male,Italy,checking,2021-01-28,True
CUST_000034,34,female,Belgium,checking,2023-12-05,True
CUST_000035,27,female,Belgium,checking,2020-07-28,False
CUST_000036,19,Male,Portugal,savings,2021-09-19,True
CUST_000037,60,FEMALE,Spain,checking,2021-07-24,True
CUST_000038,33,Female,Germany,Business,2021-03-01,True
CUST_000039,68,male,Spain,savings,2021-06-15,False
CUST_000040,28,Male,Germany,checking,2022-01-14,True
CUST_000041,39,female,France,savings,2019-08-06,True
CUST_000042,50,Female,Spain,SAVINGS,2022-04-18,True
CUST_000043,22,M,Italy, checking ,2023-11-18,False
CUST_000044,27,Female,Belgium,business,2020-11-21,True
CUST_000045,20,Female,Germany,checking,2022-06-30,True
CUST_000046,35,Male,Austria,checking,2022-05-04,True
CUST_000047,30,Other,France,checking,2021-07-08,True
CUST_000048,33,Male,France,savings,2023-03-29,True
CUST_000049,34,female,France,premium,2020-01-31,False
CUST_000050,24,Male,Italy,business,2021-12-28,True
CUST_000051,73,Female,France,SAVINGS,2022-04-24,True
CUST_000052,20,M,Belgium,savings,2022-01-02,True
CUST_000053,49,Male,Portugal,checking,2022-05-02,True
CUST_000054,77,Female,Italy,savings,2019-08-05,True
CUST_000055,70,Male,France,savings,2019-02-08,True
CUST_000056,48,FEMALE,France,checking,2020-01-22,True
CUST_000057,46,Male,Belgium,savings,2020-11-15,False
CUST_000058,37,Male,Germany,checking,2023-04-05,True
CUST_000059,43,MALE,Belgium,savings,2021-08-28,True
CUST_000060,30,Male,France,checking,2020-11-28,True
CUST_000061,31,Male,Germany,checking,2023-10-14,True
CUST_000062,59,M,Spain,checking,2020-03-25,True
CUST_000063,78,male,France, checking ,2019-06-26,True
CUST_000064,18,Male,Belgium, checking ,2020-05-25,True
CUST_000065,30,male,France,checking,2021-09-23,True
CUST_000066,39,Female,Italy,checking,2023-12-01,True
CUST_000067,32,FEMALE,Germany,business,2019-09-25,True
