transaction_id,customer_id,amount,transaction_type,timestamp,is_fraud
99466798-e548-438c-98f5-8cb3653787ac,CUST_001804,6.94,transfer,2022-06-20 09:02:12,False
43b7620b-cc24-41be-b369-8f6d57554c72,CUST_000215,4.95,purchase,2022-10-17 13:47:39,False
9972fbb3-13e7-43f7-b33b-ed614a88b172,CUST_001677,100.0,withdrawal,2023-12-18 10:28:17,False
db183eb7-7dfa-4dae-afef-3862df4375e7,CUST_001283,10.07,refund,2023-05-21 05:06:09,False
7d0ce8fa-e565-4c8a-b6bd-01fbf424c8fa,CUST_000312,200.0,withdrawal,2023-12-31 02:26:44,False
ad7f95e3-3029-4e04-bdd1-0ca3cd378f97,CUST_000162,1.67,purchase,2022-09-12 15:40:01,False
81aa8f48-a0f1-449f-a5bd-7b537754e459,CUST_000838,15.04,purchase,2022-08-26 07:53:30,False
c5aa6147-44ce-48ed-bc2e-e7eb48900f2b,CUST_000250,100.0,withdrawal,2022-08-08 07:58:27,False
69cb74c8-5786-4972-9c00-559503a2a296,CUST_001185,300.0,withdrawal,2023-07-17 05:59:59,False
d9fad850-7241-45f5-845a-9a04695d9bc6,CUST_000674,2.59,purchase,2022-09-14 18:04:52,False
acce06e0-89c9-492f-bf30-db77068bdcff,CUST_001204,9.79,fee,2023-09-20 19:23:55,False
9530bc35-d292-47b5-8a4c-9e990d9c126b,CUST_000793,515.72,deposit,2023-01-16 16:41:25,False
24dcdd09-aa3d-481f-bfa2-1883a993ebbe,CUST_000243,82.73,deposit,2022-11-21 02:31:16,False
b4edeba8-e934-441d-a930-a04230f68847,CUST_000166,206.42,deposit,2022-07-29 12:44:32,False
cf30f2f3-d676-47fe-9081-0f479f8849aa,CUST_001796,111.21,transfer,2023-03-27 06:25:46,True
d3f29bee-ef82-4e27-a51e-ee25fbb4864a,CUST_001137,100.0,withdrawal,2022-04-02 04:09:26,False
2399d830-fd84-4497-b36d-52e88aaeb513,CUST_000081,36.62,deposit,2022-02-21 16:23:49,False
92e81378-37a0-40c7-8138-a1c76300c585,CUST_001561,50.0,withdrawal,2022-02-02 11:42:46,False
5594c86c-97e3-426b-ab23-dd6b0ef96620,CUST_000715,200.0,withdrawal,2022-04-21 01:11:23,False
5faee23e-7148-4782-9f83-c05589495298,CUST_016066,177.95,deposit,2022-10-24 16:10:45,False
ab73713e-ba77-42b2-a9ec-943d2c0f5a11,CUST_000496,22.4,purchase,2023-10-30 11:57:28,False
d431b636-c122-4fa4-9408-f6086b53f727,CUST_001372,200.0,withdrawal,2022-08-22 17:01:56,False
d5211d38-1a6a-4bc9-a8be-ebec885cb855,CUST_000384,200.0,withdrawal,2023-07-24 11:36:57,False
826d6394-6747-40d5-b975-6e7ad35dc3dc,CUST_000079,41.2,fee,2022-02-24 16:51:39,False
19e6c082-2f3a-4a5f-b936-682649ff31f9,CUST_001544,98.52,purchase,2022-06-12 01:39:55,False
eed0e0df-d105-4876-a903-8026f6296026,CUST_001749,310.3,deposit,2022-09-27 08:18:39,False
abbfff8e-2c52-42a9-baeb-45c52831810f,CUST_001701,26.79,fee,2023-10-09 12:30:02,False
30f2a0a5-7695-48aa-bc5b-e74cbeead90c,CUST_000955,30.35,purchase,2023-07-24 12:30:08,False
86e95eea-dc38-4bfc-b450-6bd4d1abaf3d,CUST_000357,17.8,purchase,2023-09-13 10:19:04,False
442cbec9-05d0-40e4-87d5-8a4fba886ce3,CUST_001299,1.02,purchase,2023-07-14 10:01:59,False
e8315dbc-1dd5-4127-b780-13e5e24a6b12,CUST_000443,188.64,deposit,2022-08-18 15:27:35,False
8396cae3-fa6c-4caf-8144-a2baa71d381e,CUST_000404,69.7,transfer,2022-04-20 00:20:07,False
9c910e79-caf8-4ed4-bb5a-d53cb849df8e,CUST_001388,49.3,fee,2022-10-20 13:12:08,False
d2d62b9e-1d92-4683-96ca-715763f8cdbd,CUST_001496,180.6,purchase,2023-05-01 13:55:16,False
cadaf4fa-f080-4209-951c-303821d904a3,CUST_095913,485.29,deposit,2022-06-16 04:13:17,False
3fa577e6-1de7-4db7-b896-0d4d83ea6884,CUST_001101,50.0,withdrawal,2023-07-02 05:55:21,False
bf6bafb6-6afc-493f-b38b-262710a6cf52,CUST_000329,2.99,purchase,2023-05-29 13:00:28,False
0efe71a8-94d4-40a3-88dc-2aad47681d22,CUST_001575,120.81,purchase,2022-08-27 07:10:45,False
cb46c951-db1c-44e8-94e5-b14d9bd88d75,CUST_001587,390.87,deposit,2022-10-18 21:40:28,False
dcce44b4-9ca7-4181-b3cd-db5da143efd3,CUST_001612,16.62,purchase,2022-03-18 17:05:53,False
7878d309-72e5-43ac-a500-2b7a7b95aac2,CUST_001131,84.82,purchase,2023-02-17 15:56:54,False
24ff11cb-5b7e-42f1-970c-4e5098e1fbf9,CUST_001072,200.0,withdrawal,2023-01-31 21:33:59,False
cf4eef2a-9a61-4ba0-a106-954dc92b1c10,CUST_000031,42.27,purchase,2022-06-28 16:54:11,False
9721fd61-516c-4a22-93b5-a77c7ca39c8a,CUST_001033,37.53,fee,2023-10-30 17:42:04,False
a74dcd0b-d636-4eb0-8e28-0994cc5508f0,CUST_000408,22.55,purchase,2023-07-10 16:01:20,False
b1d20473-6d1c-4b1f-8f9e-8c10e3d067ab,CUST_001526,298.08,deposit,2022-12-05 10:38:09,False
fa58350e-a5a2-4cf0-afcc-4654613d7ac6,CUST_000693,123.92,purchase,2022-09-19 13:56:23,False
c460b49d-03b8-4539-bcb9-a609d3d71abd,CUST_000286,11.65,purchase,2023-02-22 14:51:50,False
9b2f1900-1e84-4942-90f9-0469c2a789cc,CUST_001375,875.71,deposit,2022-01-17 13:49:07,False
6b2cc6eb-eb42-4fcb-97de-ce718ed13880,CUST_001249,21.07,purchase,2022-12-26 11:36:45,False
a6656b2c-ff1c-4dfc-b51c-4435a871a38d,CUST_001521,112.8,deposit,2022-11-16 11:48:37,False
3dc93979-c735-4884-b376-43ab2934ffc2,CUST_000575,36.31,purchase,2022-02-14 16:23:15,False
784c795e-9d18-4e52-a6fb-3fdaa7703ab4,CUST_001947,50.53,purchase,2023-11-16 14:02:05,False
611e6a12-643a-44ce-8e0e-093891258c30,CUST_001037,98.09,purchase,2023-06-13 17:44:56,False
ec805f70-c9cb-487c-bb2b-916176d323aa,CUST_001817,955.78,deposit,2023-09-15 09:14:10,False
4fb67a0a-060c-4b01-8e34-06ca3910b0cf,CUST_001529,101.51,purchase,2023-11-16 11:36:54,False
6ecdf611-995b-463b-8348-df1c8c0a6907,CUST_001269,200.0,withdrawal,2022-08-11 12:51:41,False
b01d5627-8d7a-4148-9805-328838e63405,CUST_001628,500.0,withdrawal,2022-04-11 12:58:47,False
cc0f0406-f0d9-460a-ac34-e16fbfd31307,CUST_001883,49.27,fee,2022-04-28 14:31:37,False
6f43d432-cfa3-4ee2-9d7e-badcb8b128d6,CUST_000877,200.0,withdrawal,2022-08-08 12:27:16,False
badc739e-4a80-4e5e-899b-4b269e887b77,CUST_001634,52.08,purchase,2022-05-09 10:58:21,False
4553fd1b-7283-4071-8159-a633c2979a27,CUST_001122,2129.44,purchase,2022-06-30 13:27:12,True
9daa8d0d-1cf2-40be-92ac-f6d7cc646f42,CUST_001732,85.02,deposit,2023-06-16 12:27:28,False
6438b612-e070-42a4-8d96-9a29f8d31731,CUST_001659,48.63,fee,2023-10-15 05:08:15,False
732ada4b-7ba8-4d6f-8fc3-e76f98d18e25,CUST_000505,50.0,withdrawal,2022-12-29 13:27:02,False
